state,county,M_18_to_29,M_30_to_49,M_50_to_64,M_65_plus,F_18_to_29,F_30_to_49,F_50_to_64,F_65_plus,income_under_30000,income_30000_to_49999,income_50000_to_99999,income_100000_plus
Alabama,AUTAUGACOUNTY,4089,7121,5394,3358,4206,7607,5589,4807,6089,3753,6553,5461
Alabama,BALDWINCOUNTY,14020,25506,21889,19060,13997,27145,24023,24115,18734,16867,25654,23451
Alabama,BARBOURCOUNTY,2311,3740,2443,1931,1542,2635,2356,2704,4147,1810,2203,1296
Alabama,BIBBCOUNTY,2052,3484,2360,1513,1518,2694,2006,2059,2452,1144,2535,1173
Alabama,BLOUNTCOUNTY,4257,7069,5843,4228,3895,7215,5722,5747,6372,4650,6073,4245
Alabama,BULLOCKCOUNTY,1070,1428,1122,700,659,972,1005,934,1560,476,854,566
Alabama,BUTLERCOUNTY,1381,1997,1749,1523,1329,2624,2153,2463,2328,1405,1668,1304
Alabama,CALHOUNCOUNTY,9243,13339,11045,8083,9358,14383,11942,11583,13838,8526,13989,8366
Alabama,CHAMBERSCOUNTY,2543,3699,3402,2624,2490,4079,3738,3714,4704,2751,4312,1830
Alabama,CHEROKEECOUNTY,1869,2771,2978,2661,1458,2839,3148,3173,3685,2536,3142,1758
Alabama,CHILTONCOUNTY,3308,5465,4158,3126,3092,5806,4440,3997,5546,3088,5839,2999
Alabama,CHOCTAWCOUNTY,799,1284,1355,1182,843,1467,1511,1666,2236,1119,1192,836
Alabama,CLARKECOUNTY,1690,2558,2368,1894,1759,2906,2678,2670,3952,1443,2237,1573
Alabama,CLAYCOUNTY,924,1532,1408,1075,946,1559,1475,1508,1773,1267,1402,858
Alabama,CLEBURNECOUNTY,1032,1757,1454,1206,967,1783,1515,1776,2038,967,1856,897
Alabama,COFFEECOUNTY,3946,6793,4791,3620,3652,6621,5223,4916,5203,3801,6285,4713
Alabama,COLBERTCOUNTY,4020,6318,5489,4311,3860,6885,5985,6269,6912,4429,7011,3537
Alabama,CONECUHCOUNTY,840,1207,1271,1210,814,1383,1386,1507,1696,1306,1080,485
Alabama,COOSACOUNTY,717,1190,1376,1106,609,1227,1317,1318,1182,1023,1011,620
Alabama,COVINGTONCOUNTY,2437,4117,3831,3072,2423,4285,4078,4443,5381,3097,4300,2318
Alabama,CRENSHAWCOUNTY,955,1549,1445,1129,938,1709,1482,1514,1854,1212,1282,844
Alabama,CULLMANCOUNTY,6072,10269,8479,6411,5890,10054,8533,8487,9498,7593,10061,5416
Alabama,DALECOUNTY,4391,5937,4408,3511,3716,6283,4898,4605,6654,3660,5832,3081
Alabama,DALLASCOUNTY,2652,3743,3617,2757,3031,4713,4346,3973,6942,3115,3587,1720
Alabama,DEKALBCOUNTY,5263,8840,6908,5207,4967,8805,7157,6711,9497,5870,7776,3625
Alabama,ELMORECOUNTY,6314,10285,7818,5104,6364,11516,8417,7057,6589,5142,10195,7880
Alabama,ESCAMBIACOUNTY,2959,5202,3559,2664,2517,4156,3501,3787,5572,2829,3191,1384
Alabama,ETOWAHCOUNTY,7556,12289,9940,7889,7406,13164,10722,11083,12784,8630,10982,6607
Alabama,FAYETTECOUNTY,1180,1804,1768,1391,1095,1964,1697,1928,2715,973,2185,786
Alabama,FRANKLINCOUNTY,2439,4013,2942,2132,2203,3704,3180,2912,4000,2350,3326,1358
Alabama,GENEVACOUNTY,1656,2986,2877,2129,1676,3067,2961,2990,3950,2625,2867,1586
Alabama,GREENECOUNTY,636,823,793,711,539,806,1024,1064,1783,525,587,217
Alabama,HALECOUNTY,1070,1473,1420,1089,1127,1736,1655,1602,2712,785,1246,770
Alabama,HENRYCOUNTY,1125,1935,1696,1631,1035,2090,1828,2160,2097,1063,2119,1253
Alabama,HOUSTONCOUNTY,7453,12487,9937,7266,7700,13873,10890,10659,12341,8200,11302,8308
Alabama,JACKSONCOUNTY,3485,6201,5391,4284,3386,6365,5716,5768,7358,4443,5737,3194
Alabama,JEFFERSONCOUNTY,52307,80705,58552,39055,55181,89356,67834,61001,73551,48394,75776,67345
Alabama,LAMARCOUNTY,978,1473,1446,1179,780,1733,1416,1686,2079,1064,1357,943
Alabama,LAUDERDALECOUNTY,7988,10380,8735,7339,8410,10724,9760,10451,11935,8363,11683,7159
Alabama,LAWRENCECOUNTY,2280,3770,3685,2343,2371,3966,3823,3303,3944,2761,3722,2326
Alabama,LEECOUNTY,21598,19441,12808,7865,20536,20750,14088,10848,19671,9453,16565,14987
Alabama,LIMESTONECOUNTY,7180,13374,10306,6099,6469,12971,9977,8205,7561,4889,10655,8921
Alabama,LOWNDESCOUNTY,742,991,1026,710,744,1165,1169,1075,1967,887,896,529
Alabama,MACONCOUNTY,2025,1602,1636,1444,2450,1885,1978,2146,3307,1472,1769,978
Alabama,MADISONCOUNTY,31125,45670,37772,22050,30205,47767,39674,30963,34708,24196,42018,50919
Alabama,MARENGOCOUNTY,1349,1964,1813,1517,1353,2271,2162,2126,3562,1000,1728,1216
Alabama,MARIONCOUNTY,2114,3437,3137,2640,1941,3453,3197,3540,4688,2288,3310,1411
Alabama,MARSHALLCOUNTY,7265,11553,9114,6778,6685,11450,9550,9350,10364,7434,10792,6855
Alabama,MOBILECOUNTY,33062,48041,37944,26857,34364,53511,42701,38234,49537,31085,46656,31655
Alabama,MONROECOUNTY,1497,2121,2178,1665,1461,2585,2392,2385,3721,1332,1976,1058
Alabama,MONTGOMERYCOUNTY,19420,26970,19143,12867,20130,30553,22966,19824,26937,16585,26769,19463
Alabama,MORGANCOUNTY,8654,14915,12048,7889,8346,14600,12564,11817,13294,9096,14195,10000
Alabama,PERRYCOUNTY,876,808,861,687,1018,1042,793,1063,1899,621,424,225
Alabama,PICKENSCOUNTY,1518,2265,2000,1504,1497,2767,2264,2091,3044,1679,1853,1294
Alabama,PIKECOUNTY,5002,2934,2502,1960,5099,3476,2861,2846,4627,2207,2771,2173
Alabama,RANDOLPHCOUNTY,1585,2582,2315,2023,1613,2595,2536,2584,2928,1803,2426,1509
Alabama,RUSSELLCOUNTY,4610,7231,5471,3245,4733,7793,5838,4797,9046,4868,6863,3468
Alabama,ST.CLAIRCOUNTY,6287,11972,8774,5951,5876,11778,9212,8302,7241,5795,11453,8342
Alabama,SHELBYCOUNTY,15109,28637,20507,13622,15550,30345,22239,18532,12949,11652,25398,31131
Alabama,SUMTERCOUNTY,1465,1078,1045,896,1697,1305,1284,1353,2913,992,1122,436
Alabama,TALLADEGACOUNTY,6076,9737,7967,5971,6326,10206,8636,7895,11435,6087,9214,5078
Alabama,TALLAPOOSACOUNTY,2905,4076,4342,3728,2704,4665,4726,4655,5693,2763,5368,2573
Alabama,TUSCALOOSACOUNTY,25089,24541,16773,10941,26372,26092,18505,15793,21024,14049,22272,17945
Alabama,WALKERCOUNTY,4608,7351,6449,5027,4377,7568,6934,6951,8419,5314,7925,4049
Alabama,WASHINGTONCOUNTY,1531,1547,1765,1436,1060,1797,1930,1753,2180,1187,1244,1339
Alabama,WILCOXCOUNTY,839,1037,969,860,777,1255,1104,1162,1787,830,921,448
Alabama,WINSTONCOUNTY,1465,2690,2677,2214,1483,2661,2719,2826,3834,1678,2698,1268
Alaska,ALEUTIANSEASTBOROUGH,350,630,538,163,188,459,400,182,194,126,270,380
Alaska,ALEUTIANSWESTCENSUSAREA,651,1306,919,243,310,594,481,187,95,140,566,529
Alaska,ANCHORAGEMUNICIPALITY,29889,40886,26517,14218,25239,39665,26609,17093,14161,13652,34763,44689
Alaska,BETHELCENSUSAREA,1754,2140,1566,648,1677,1975,1294,693,1323,706,1280,1168
Alaska,BRISTOLBAYBOROUGH,54,94,139,49,22,92,109,31,43,34,102,111
Alaska,CHUGACHCENSUSAREA,566,890,876,455,534,661,709,415,347,390,794,882
Alaska,COPPERRIVERCENSUSAREA,85,400,355,181,194,408,291,161,224,97,311,379
Alaska,DENALIBOROUGH,311,343,404,168,194,372,356,82,150,100,206,267
Alaska,DILLINGHAMCENSUSAREA,454,613,411,283,443,536,378,260,353,275,463,330
Alaska,FAIRBANKSNORTHSTARBOROUGH,13880,13573,8292,4983,9056,12011,7667,5008,4761,5815,12393,13368
Alaska,HAINESBOROUGH,42,328,268,307,84,214,167,274,216,112,280,278
Alaska,HOONAH-ANGOONCENSUSAREA,118,280,353,274,94,220,310,201,183,159,243,194
Alaska,JUNEAUCITYANDBOROUGH,2694,4633,3439,1857,2432,4433,3237,2345,1604,1293,4624,5341
Alaska,KENAIPENINSULABOROUGH,4417,7489,6636,4918,3614,6872,6330,4919,4416,3482,7061,6990
Alaska,KETCHIKANGATEWAYBOROUGH,1152,1775,1598,962,943,1782,1457,1081,878,904,1590,1943
Alaska,KODIAKISLANDBOROUGH,1333,1958,1419,655,1025,1739,1125,718,692,429,1455,1668
Alaska,KUSILVAKCENSUSAREA,852,940,701,216,736,731,493,263,689,408,404,190
Alaska,LAKEANDPENINSULABOROUGH,78,148,118,45,165,124,105,74,113,86,122,58
Alaska,MATANUSKA-SUSITNABOROUGH,8829,14980,10745,6023,7431,13783,10025,6456,6124,4255,9555,11950
Alaska,NOMECENSUSAREA,990,1233,851,409,845,1160,692,360,684,427,931,760
Alaska,NORTHSLOPEBOROUGH,917,1724,1338,382,644,912,683,280,389,234,632,761
Alaska,NORTHWESTARCTICBOROUGH,735,1045,707,268,654,749,481,313,427,281,494,583
Alaska,PETERSBURGBOROUGH,216,344,382,391,160,444,288,475,225,227,423,348
Alaska,PRINCEOFWALES-HYDERCENSUSAREA,439,770,855,610,368,665,687,458,655,393,683,563
Alaska,SITKACITYANDBOROUGH,692,1151,915,604,584,1155,859,701,541,452,1303,1227
Alaska,SKAGWAYMUNICIPALITY,114,234,140,102,77,220,167,66,75,45,161,118
Alaska,SOUTHEASTFAIRBANKSCENSUSAREA,539,945,826,535,423,761,600,430,606,409,666,703
Alaska,WRANGELLCITYANDBOROUGH,148,273,332,286,158,239,257,270,199,270,305,271
Alaska,YAKUTATCITYANDBOROUGH,38,108,83,52,69,40,39,29,30,24,112,50
Alaska,YUKON-KOYUKUKCENSUSAREA,444,609,561,419,379,550,491,351,744,323,529,259
Arizona,APACHECOUNTY,6002,8214,6580,4719,5714,7913,6965,6051,10019,3822,5198,2419
Arizona,COCHISECOUNTY,10651,15106,11207,12244,8361,13154,12703,14540,14781,9664,16370,10024
Arizona,COCONINOCOUNTY,19066,16048,11443,8143,20882,15443,12377,9356,12898,8119,16076,12297
Arizona,GILACOUNTY,3139,4981,5506,6837,3040,4812,6109,7975,7293,4950,7065,3586
Arizona,GRAHAMCOUNTY,3974,5825,2956,2164,3050,4108,2816,2835,3098,2092,4110,2093
Arizona,GREENLEECOUNTY,838,1365,809,540,746,1190,723,643,530,641,1409,755
Arizona,LAPAZCOUNTY,1140,1674,1754,3712,1050,1780,1895,3988,4361,2034,2687,892
Arizona,MARICOPACOUNTY,380235,585699,377260,271695,363407,582803,401261,368611,307273,280978,510310,506733
Arizona,MOHAVECOUNTY,12712,20987,22447,29228,11103,19357,24240,32233,27432,20255,29008,14192
Arizona,NAVAJOCOUNTY,8660,12456,9894,8648,7516,11857,10764,10569,13082,7287,10226,5472
Arizona,PIMACOUNTY,99724,119134,88568,83702,94326,117518,97524,112202,108682,80904,126329,97255
Arizona,PINALCOUNTY,36577,62899,37510,40729,27274,51181,39124,47759,33174,26220,51821,36878
Arizona,SANTACRUZCOUNTY,3545,4791,3871,3435,3424,5471,4528,4483,5862,3342,4332,2580
Arizona,YAVAPAICOUNTY,13904,20838,24459,31963,12151,21039,28923,38463,27907,20636,33381,20410
Arizona,YUMACOUNTY,22733,24810,15210,17108,16733,22610,16049,21141,23211,14746,24226,12409
Arkansas,ARKANSASCOUNTY,1180,1967,1787,1357,1224,2197,1934,1872,2491,1156,2420,1420
Arkansas,ASHLEYCOUNTY,1490,2091,1901,1732,1404,2347,2104,2258,2831,1475,2451,999
Arkansas,BAXTERCOUNTY,2250,3964,4179,5224,2051,4184,4781,6962,5965,4767,5708,2481
Arkansas,BENTONCOUNTY,21194,39342,22129,15208,20845,38290,23007,20267,17110,15083,35475,31971
Arkansas,BOONECOUNTY,2730,4151,3699,3015,2377,4329,3878,4363,4631,3637,4657,2371
Arkansas,BRADLEYCOUNTY,697,1312,956,778,748,1423,1063,1123,1490,1020,1122,634
Arkansas,CALHOUNCOUNTY,397,564,677,438,350,533,582,628,515,314,581,308
Arkansas,CARROLLCOUNTY,1829,2973,3034,2704,1653,3081,2899,3498,3781,1995,3633,1786
Arkansas,CHICOTCOUNTY,864,1196,1089,807,586,1090,1133,1272,1766,1068,953,439
Arkansas,CLARKCOUNTY,3036,2062,1752,1466,3284,2309,1970,2091,3267,1508,2357,1236
Arkansas,CLAYCOUNTY,1010,1741,1508,1284,967,1683,1506,1759,2356,1650,1847,675
Arkansas,CLEBURNECOUNTY,1451,2697,2775,2696,1287,2613,2755,3579,3097,2828,3284,1619
Arkansas,CLEVELANDCOUNTY,460,925,855,677,429,1082,830,897,1116,600,919,517
Arkansas,COLUMBIACOUNTY,2765,2315,1946,1576,2829,2634,2153,2338,3452,1698,2021,1229
Arkansas,CONWAYCOUNTY,1342,2397,2189,1583,1448,2404,2340,2182,3093,1700,2473,1445
Arkansas,CRAIGHEADCOUNTY,10574,13797,8500,5573,10360,14353,9568,8642,12772,8428,12404,8615
Arkansas,CRAWFORDCOUNTY,4499,7744,6145,4421,4410,7757,6511,5738,7422,4736,7349,4446
Arkansas,CRITTENDENCOUNTY,3792,5382,4263,2682,3895,6330,4848,3831,6803,3715,4985,3385
Arkansas,CROSSCOUNTY,1128,1985,1574,1299,1171,2012,1695,1725,2226,1326,1937,1043
Arkansas,DALLASCOUNTY,457,826,702,652,436,753,785,937,1315,609,801,318
Arkansas,DESHACOUNTY,726,1150,1102,878,820,1378,1236,1225,2413,1033,1353,410
Arkansas,DREWCOUNTY,1891,1953,1548,1271,1836,2035,1746,1904,2928,1066,2010,1337
Arkansas,FAULKNERCOUNTY,13708,15528,10120,6329,14444,15985,10607,8855,12503,9313,13106,10598
Arkansas,FRANKLINCOUNTY,1390,2024,1742,1384,1128,2058,1828,1992,2728,1299,1965,739
Arkansas,FULTONCOUNTY,697,1217,1335,1321,606,1262,1429,1709,2106,1106,1252,585
Arkansas,GARLANDCOUNTY,6620,10695,9670,9572,6414,11548,10707,13016,12591,9058,13509,6435
Arkansas,GRANTCOUNTY,1279,2302,1842,1431,1200,2230,2086,1710,1891,1018,2297,1818
Arkansas,GREENECOUNTY,3595,5735,4029,2803,3368,5911,4299,4094,5166,3571,5801,3010
Arkansas,HEMPSTEADCOUNTY,1463,2339,1999,1639,1483,2811,2152,2188,2522,1828,2679,1188
Arkansas,HOTSPRINGCOUNTY,2699,4613,3565,2632,2101,3861,3342,3437,3989,2954,3954,1998
Arkansas,HOWARDCOUNTY,851,1414,1259,927,960,1664,1291,1314,2179,1011,1386,626
Arkansas,INDEPENDENCECOUNTY,2826,4530,3684,2542,2669,4513,3838,3666,4390,2981,4679,2227
Arkansas,IZARDCOUNTY,1024,1693,1606,1444,652,1333,1457,1824,1820,1123,1505,490
Arkansas,JACKSONCOUNTY,1482,2237,1620,1227,1228,2219,1729,1688,2425,1532,1552,731
Arkansas,JEFFERSONCOUNTY,6024,8177,6591,4670,5609,7841,7127,6661,9817,5831,7311,3724
Arkansas,JOHNSONCOUNTY,1984,3199,2675,1908,2093,3090,2645,2356,3810,2479,2614,1098
Arkansas,LAFAYETTECOUNTY,485,630,769,643,434,713,825,870,1276,596,700,351
Arkansas,LAWRENCECOUNTY,1380,1845,1623,1278,1292,1849,1676,1754,2502,1275,2052,738
Arkansas,LEECOUNTY,947,1730,833,676,501,741,843,982,1674,462,807,338
Arkansas,LINCOLNCOUNTY,1785,3028,1547,855,469,1094,1078,1111,1237,658,1267,412
Arkansas,LITTLERIVERCOUNTY,665,1404,1132,1247,762,1582,1396,1388,1817,848,1661,930
Arkansas,LOGANCOUNTY,1465,2574,2231,1864,1411,2537,2382,2318,2744,2147,2556,957
Arkansas,LONOKECOUNTY,5528,9654,6640,4011,5385,10229,7014,5505,6454,4981,9298,6522
Arkansas,MADISONCOUNTY,1272,1984,1750,1380,1070,1736,1676,1653,2191,1193,1669,884
Arkansas,MARIONCOUNTY,868,1490,1942,2018,800,1633,2196,2417,2621,2010,1804,650
Arkansas,MILLERCOUNTY,3450,5363,4075,3012,3118,5545,4442,4043,5586,3318,4446,2876
Arkansas,MISSISSIPPICOUNTY,3375,4744,3854,2358,3204,5144,4130,3447,5963,3672,4260,3022
Arkansas,MONROECOUNTY,409,653,768,600,508,711,814,884,1343,616,885,411
Arkansas,MONTGOMERYCOUNTY,555,839,1037,1096,447,919,1059,1285,1384,975,987,505
Arkansas,NEVADACOUNTY,560,975,780,652,478,1014,873,928,1200,630,1077,287
Arkansas,NEWTONCOUNTY,421,773,867,947,523,721,842,1060,1201,528,946,283
Arkansas,OUACHITACOUNTY,1526,2430,2420,1827,1523,2836,2752,2729,3785,1984,2466,1285
Arkansas,PERRYCOUNTY,673,1378,1102,836,567,1189,1093,1101,1279,758,909,748
Arkansas,PHILLIPSCOUNTY,1254,1768,1636,1346,1400,1994,2034,1927,3620,1086,1889,869
Arkansas,PIKECOUNTY,763,1318,1102,870,737,1253,1080,1176,1535,911,1147,684
Arkansas,POINSETTCOUNTY,1733,2724,2361,1633,1701,2924,2367,2453,3616,1897,2899,1051
Arkansas,POLKCOUNTY,1291,2076,1978,1949,1233,2163,2104,2447,3011,2237,2121,985
Arkansas,POPECOUNTY,6559,7404,5888,3851,6445,7421,5820,5512,7288,4802,6139,4408
Arkansas,PRAIRIECOUNTY,513,868,843,829,448,923,932,1046,1294,946,1218,480
Arkansas,PULASKICOUNTY,31887,48483,34757,23004,32349,53758,39576,34998,45620,32670,46472,38255
Arkansas,RANDOLPHCOUNTY,1294,2223,1727,1439,1134,2003,1758,2037,2769,1367,2213,827
Arkansas,ST.FRANCISCOUNTY,2538,4400,2437,1797,1629,2525,2300,2303,4025,2717,2118,915
Arkansas,SALINECOUNTY,8134,15781,11026,9347,8219,16398,11614,11729,8811,8307,15885,12745
Arkansas,SCOTTCOUNTY,651,1158,1117,963,630,1072,1061,1133,1577,968,1163,513
Arkansas,SEARCYCOUNTY,482,831,871,995,455,809,870,989,1357,815,764,236
Arkansas,SEBASTIANCOUNTY,10245,15725,12046,7839,10113,15964,12503,11544,15553,11325,15328,9600
Arkansas,SEVIERCOUNTY,1390,2123,1457,1071,1274,2058,1431,1278,1856,844,1771,874
Arkansas,SHARPCOUNTY,1032,1774,1712,1902,946,1791,1909,2365,3170,1869,2003,479
Arkansas,STONECOUNTY,765,1251,1368,1439,662,1143,1505,1841,2119,974,1430,430
Arkansas,UNIONCOUNTY,2764,4442,3882,2766,2657,4897,4123,3879,5345,3200,4183,3049
Arkansas,VANBURENCOUNTY,974,1756,1809,1727,874,1732,1944,2324,2600,2155,2048,824
Arkansas,WASHINGTONCOUNTY,27429,31296,17779,11049,25978,30202,18493,15458,23889,18602,26048,20912
Arkansas,WHITECOUNTY,6723,9205,7325,5220,7138,9579,7541,7121,9764,6797,8051,4956
Arkansas,WOODRUFFCOUNTY,406,583,748,619,419,707,691,871,1275,528,838,348
Arkansas,YELLCOUNTY,1560,2650,2239,1508,1424,2571,2121,2055,2423,1795,2693,1132
California,ALAMEDACOUNTY,136448,253194,151482,91062,135961,253514,158208,129770,85404,57672,132815,298895
California,ALPINECOUNTY,35,135,118,183,32,155,95,151,56,49,115,170
California,AMADORCOUNTY,2608,5683,4708,4567,1821,3483,4221,5514,3443,2482,4917,4217
California,BUTTECOUNTY,24550,25099,19438,16519,23635,24150,20944,22374,24867,13917,23330,21708
California,CALAVERASCOUNTY,2643,4666,5375,5702,2275,4228,6183,6503,3461,2655,5561,5037
California,COLUSACOUNTY,1796,2691,1964,1283,1581,2574,1880,1612,1918,1315,2367,1741
California,CONTRACOSTACOUNTY,84239,151736,112683,71262,80940,157057,119364,101706,51349,40632,99757,206546
California,DELNORTECOUNTY,2304,4341,2758,2045,1687,2812,2863,2595,3008,2150,2753,2148
California,ELDORADOCOUNTY,12041,21733,22183,17638,10730,21938,23391,21035,12858,9506,19973,30956
California,FRESNOCOUNTY,90718,128258,77305,48136,86825,124657,79921,66968,84601,56804,90527,81235
California,GLENNCOUNTY,2241,3339,2573,1994,2089,3220,2514,2376,2986,1911,3230,2028
California,HUMBOLDTCOUNTY,13223,17910,12095,9995,13583,16051,13007,13122,17546,10139,15005,11733
California,IMPERIALCOUNTY,17794,23936,14114,9351,14543,20629,14486,12860,15739,8859,12430,8890
California,INYOCOUNTY,1016,2097,1975,1793,1012,1935,2001,2168,1895,1622,2683,1863
California,KERNCOUNTY,87699,121942,71394,40872,75659,108736,71005,52882,75213,51118,81907,66009
California,KINGSCOUNTY,17565,25171,12384,6562,12334,16824,10325,8337,9563,8646,14915,10862
California,LAKECOUNTY,4110,7065,6841,6579,3624,7124,7299,7558,7621,5429,7039,5471
California,LASSENCOUNTY,5536,6498,3312,2015,1253,2238,2405,2222,2205,1777,3136,2047
California,LOSANGELESCOUNTY,909654,1426323,904896,521960,887260,1410079,953770,776101,717585,502280,938607,1187679
California,MADERACOUNTY,12707,18137,12414,9261,13714,20877,13437,11526,9853,8368,14344,11617
California,MARINCOUNTY,14404,31559,28738,23279,13122,30855,30955,32125,12862,10386,22001,60506
California,MARIPOSACOUNTY,868,2024,2064,2176,858,1687,2093,2414,2580,1128,2604,1425
