Unnamed: 0,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
11161,2000,VIRGINIA,VA,ACCOMACK,51001,US PRESIDENT,AL GORE,DEMOCRAT,5092,11925,20220315,TOTAL
11162,2000,VIRGINIA,VA,ACCOMACK,51001,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6352,11925,20220315,TOTAL
11165,2000,VIRGINIA,VA,ALBEMARLE,51003,US PRESIDENT,AL GORE,DEMOCRAT,16255,36846,20220315,TOTAL
11166,2000,VIRGINIA,VA,ALBEMARLE,51003,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,18291,36846,20220315,TOTAL
11169,2000,VIRGINIA,VA,ALLEGHANY,51005,US PRESIDENT,AL GORE,DEMOCRAT,2214,5123,20220315,TOTAL
11170,2000,VIRGINIA,VA,ALLEGHANY,51005,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2808,5123,20220315,TOTAL
11173,2000,VIRGINIA,VA,AMELIA,51007,US PRESIDENT,AL GORE,DEMOCRAT,1754,4788,20220315,TOTAL
11174,2000,VIRGINIA,VA,AMELIA,51007,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2947,4788,20220315,TOTAL
11177,2000,VIRGINIA,VA,AMHERST,51009,US PRESIDENT,AL GORE,DEMOCRAT,4812,11712,20220315,TOTAL
11178,2000,VIRGINIA,VA,AMHERST,51009,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6660,11712,20220315,TOTAL
11181,2000,VIRGINIA,VA,APPOMATTOX,51011,US PRESIDENT,AL GORE,DEMOCRAT,2132,5927,20220315,TOTAL
11182,2000,VIRGINIA,VA,APPOMATTOX,51011,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3654,5927,20220315,TOTAL
11185,2000,VIRGINIA,VA,ARLINGTON,51013,US PRESIDENT,AL GORE,DEMOCRAT,50260,83559,20220315,TOTAL
11186,2000,VIRGINIA,VA,ARLINGTON,51013,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,28555,83559,20220315,TOTAL
11189,2000,VIRGINIA,VA,AUGUSTA,51015,US PRESIDENT,AL GORE,DEMOCRAT,6643,25271,20220315,TOTAL
11190,2000,VIRGINIA,VA,AUGUSTA,51015,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17744,25271,20220315,TOTAL
11193,2000,VIRGINIA,VA,BATH,51017,US PRESIDENT,AL GORE,DEMOCRAT,822,2210,20220315,TOTAL
11194,2000,VIRGINIA,VA,BATH,51017,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1311,2210,20220315,TOTAL
11197,2000,VIRGINIA,VA,BEDFORD,51019,US PRESIDENT,AL GORE,DEMOCRAT,8160,26149,20220315,TOTAL
11198,2000,VIRGINIA,VA,BEDFORD,51019,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17224,26149,20220315,TOTAL
11201,2000,VIRGINIA,VA,BLAND,51021,US PRESIDENT,AL GORE,DEMOCRAT,851,2688,20220315,TOTAL
11202,2000,VIRGINIA,VA,BLAND,51021,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1759,2688,20220315,TOTAL
11205,2000,VIRGINIA,VA,BOTETOURT,51023,US PRESIDENT,AL GORE,DEMOCRAT,4627,13840,20220315,TOTAL
11206,2000,VIRGINIA,VA,BOTETOURT,51023,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8867,13840,20220315,TOTAL
11209,2000,VIRGINIA,VA,BRUNSWICK,51025,US PRESIDENT,AL GORE,DEMOCRAT,3387,5997,20220315,TOTAL
11210,2000,VIRGINIA,VA,BRUNSWICK,51025,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2561,5997,20220315,TOTAL
11213,2000,VIRGINIA,VA,BUCHANAN,51027,US PRESIDENT,AL GORE,DEMOCRAT,5745,9856,20220315,TOTAL
11214,2000,VIRGINIA,VA,BUCHANAN,51027,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3867,9856,20220315,TOTAL
11217,2000,VIRGINIA,VA,BUCKINGHAM,51029,US PRESIDENT,AL GORE,DEMOCRAT,2561,5454,20220315,TOTAL
11218,2000,VIRGINIA,VA,BUCKINGHAM,51029,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2738,5454,20220315,TOTAL
11221,2000,VIRGINIA,VA,CAMPBELL,51031,US PRESIDENT,AL GORE,DEMOCRAT,6659,20327,20220315,TOTAL
11222,2000,VIRGINIA,VA,CAMPBELL,51031,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13162,20327,20220315,TOTAL
11225,2000,VIRGINIA,VA,CAROLINE,51033,US PRESIDENT,AL GORE,DEMOCRAT,4314,8351,20220315,TOTAL
11226,2000,VIRGINIA,VA,CAROLINE,51033,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3873,8351,20220315,TOTAL
11229,2000,VIRGINIA,VA,CARROLL,51035,US PRESIDENT,AL GORE,DEMOCRAT,3638,11001,20220315,TOTAL
11230,2000,VIRGINIA,VA,CARROLL,51035,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7142,11001,20220315,TOTAL
11233,2000,VIRGINIA,VA,CHARLESCITY,51036,US PRESIDENT,AL GORE,DEMOCRAT,1981,3066,20220315,TOTAL
11234,2000,VIRGINIA,VA,CHARLESCITY,51036,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1023,3066,20220315,TOTAL
11237,2000,VIRGINIA,VA,CHARLOTTE,51037,US PRESIDENT,AL GORE,DEMOCRAT,2017,4994,20220315,TOTAL
11238,2000,VIRGINIA,VA,CHARLOTTE,51037,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2855,4994,20220315,TOTAL
11241,2000,VIRGINIA,VA,CHESTERFIELD,51041,US PRESIDENT,AL GORE,DEMOCRAT,38638,110951,20220315,TOTAL
11242,2000,VIRGINIA,VA,CHESTERFIELD,51041,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,69924,110951,20220315,TOTAL
11245,2000,VIRGINIA,VA,CLARKE,51043,US PRESIDENT,AL GORE,DEMOCRAT,2166,5284,20220315,TOTAL
11246,2000,VIRGINIA,VA,CLARKE,51043,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2883,5284,20220315,TOTAL
11249,2000,VIRGINIA,VA,CRAIG,51045,US PRESIDENT,AL GORE,DEMOCRAT,851,2493,20220315,TOTAL
11250,2000,VIRGINIA,VA,CRAIG,51045,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1580,2493,20220315,TOTAL
11253,2000,VIRGINIA,VA,CULPEPER,51047,US PRESIDENT,AL GORE,DEMOCRAT,4364,12244,20220315,TOTAL
11254,2000,VIRGINIA,VA,CULPEPER,51047,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7440,12244,20220315,TOTAL
11257,2000,VIRGINIA,VA,CUMBERLAND,51049,US PRESIDENT,AL GORE,DEMOCRAT,1405,3507,20220315,TOTAL
11258,2000,VIRGINIA,VA,CUMBERLAND,51049,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1974,3507,20220315,TOTAL
11261,2000,VIRGINIA,VA,DICKENSON,51051,US PRESIDENT,AL GORE,DEMOCRAT,3951,7226,20220315,TOTAL
11262,2000,VIRGINIA,VA,DICKENSON,51051,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3122,7226,20220315,TOTAL
11265,2000,VIRGINIA,VA,DINWIDDIE,51053,US PRESIDENT,AL GORE,DEMOCRAT,4001,9136,20220315,TOTAL
11266,2000,VIRGINIA,VA,DINWIDDIE,51053,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4959,9136,20220315,TOTAL
11269,2000,VIRGINIA,VA,ESSEX,51057,US PRESIDENT,AL GORE,DEMOCRAT,1750,3831,20220315,TOTAL
11270,2000,VIRGINIA,VA,ESSEX,51057,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1995,3831,20220315,TOTAL
11273,2000,VIRGINIA,VA,FAIRFAX,51059,US PRESIDENT,AL GORE,DEMOCRAT,196501,413775,20220315,TOTAL
11274,2000,VIRGINIA,VA,FAIRFAX,51059,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,202181,413775,20220315,TOTAL
11277,2000,VIRGINIA,VA,FAUQUIER,51061,US PRESIDENT,AL GORE,DEMOCRAT,8296,23481,20220315,TOTAL
11278,2000,VIRGINIA,VA,FAUQUIER,51061,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,14456,23481,20220315,TOTAL
11281,2000,VIRGINIA,VA,FLOYD,51063,US PRESIDENT,AL GORE,DEMOCRAT,1957,5739,20220315,TOTAL
11282,2000,VIRGINIA,VA,FLOYD,51063,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3423,5739,20220315,TOTAL
11285,2000,VIRGINIA,VA,FLUVANNA,51065,US PRESIDENT,AL GORE,DEMOCRAT,3431,8706,20220315,TOTAL
11286,2000,VIRGINIA,VA,FLUVANNA,51065,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4962,8706,20220315,TOTAL
11289,2000,VIRGINIA,VA,FRANKLIN,51067,US PRESIDENT,AL GORE,DEMOCRAT,7145,18829,20220315,TOTAL
11290,2000,VIRGINIA,VA,FRANKLIN,51067,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11225,18829,20220315,TOTAL
11293,2000,VIRGINIA,VA,FREDERICK,51069,US PRESIDENT,AL GORE,DEMOCRAT,7158,22392,20220315,TOTAL
11294,2000,VIRGINIA,VA,FREDERICK,51069,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,14574,22392,20220315,TOTAL
11297,2000,VIRGINIA,VA,GILES,51071,US PRESIDENT,AL GORE,DEMOCRAT,3004,6820,20220315,TOTAL
11298,2000,VIRGINIA,VA,GILES,51071,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3574,6820,20220315,TOTAL
11301,2000,VIRGINIA,VA,GLOUCESTER,51073,US PRESIDENT,AL GORE,DEMOCRAT,4553,13699,20220315,TOTAL
11302,2000,VIRGINIA,VA,GLOUCESTER,51073,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8718,13699,20220315,TOTAL
11305,2000,VIRGINIA,VA,GOOCHLAND,51075,US PRESIDENT,AL GORE,DEMOCRAT,3197,8777,20220315,TOTAL
11306,2000,VIRGINIA,VA,GOOCHLAND,51075,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5378,8777,20220315,TOTAL
11309,2000,VIRGINIA,VA,GRAYSON,51077,US PRESIDENT,AL GORE,DEMOCRAT,2467,6852,20220315,TOTAL
11310,2000,VIRGINIA,VA,GRAYSON,51077,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4236,6852,20220315,TOTAL
11313,2000,VIRGINIA,VA,GREENE,51079,US PRESIDENT,AL GORE,DEMOCRAT,1774,5412,20220315,TOTAL
11314,2000,VIRGINIA,VA,GREENE,51079,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3375,5412,20220315,TOTAL
11317,2000,VIRGINIA,VA,GREENSVILLE,51081,US PRESIDENT,AL GORE,DEMOCRAT,2314,3906,20220315,TOTAL
11318,2000,VIRGINIA,VA,GREENSVILLE,51081,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1565,3906,20220315,TOTAL
11321,2000,VIRGINIA,VA,HALIFAX,51083,US PRESIDENT,AL GORE,DEMOCRAT,5963,14072,20220315,TOTAL
11322,2000,VIRGINIA,VA,HALIFAX,51083,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7732,14072,20220315,TOTAL
11325,2000,VIRGINIA,VA,HANOVER,51085,US PRESIDENT,AL GORE,DEMOCRAT,12044,41585,20220315,TOTAL
11326,2000,VIRGINIA,VA,HANOVER,51085,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,28614,41585,20220315,TOTAL
11329,2000,VIRGINIA,VA,HENRICO,51087,US PRESIDENT,AL GORE,DEMOCRAT,48645,114252,20220315,TOTAL
11330,2000,VIRGINIA,VA,HENRICO,51087,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,62887,114252,20220315,TOTAL
